original_row_id,component_id,lot_id,component_type,manufacturer,temperature_C,voltage_V,value_0h,value_24h,value_96h,value_168h,failure_label,change_0h_24h,change_24h_96h,change_96h_168h,overall_change_0h_168h,percentage_change,drift_rate,unusual_trajectory,data_quality_flags,data_quality_status,is_valid_for_ml
0,C00001,LOT_15,TYPE_A,MFG_A,123.27,5.0,9.686,9.44,10.088,10.144,0,-0.24600000000000044,0.6479999999999997,0.05600000000000094,0.4580000000000002,4.72847408631014,0.002726190476190477,False,NONE,VALID,TRUE
1,C00002,LOT_13,TYPE_A,MFG_A,127.58,5.0,10.907,11.412,11.171,11.891,0,0.5050000000000008,-0.24100000000000144,0.7200000000000006,0.984,9.021729164756579,0.005857142857142857,False,NONE,VALID,TRUE
2,C00003,LOT_07,TYPE_B,MFG_C,124.43,5.5,11.409,12.955,15.548,19.512,0,1.5459999999999994,2.593,3.9640000000000004,8.103,71.02287667630817,0.048232142857142855,False,NONE,VALID,TRUE
3,C00004,LOT_09,TYPE_C,MFG_B,122.51,3.3,9.044,9.49,9.737,9.855,0,0.44599999999999973,0.2469999999999999,0.11800000000000033,0.8109999999999999,8.967271118973905,0.004827380952380952,False,NONE,VALID,TRUE
4,C00005,LOT_20,TYPE_C,MFG_A,125.72,3.3,9.894,10.138,10.568,10.696,0,0.24399999999999977,0.4299999999999997,0.1280000000000001,0.8019999999999996,8.105922781483724,0.004773809523809521,False,NONE,VALID,TRUE
5,C00006,LOT_20,TYPE_C,MFG_C,125.3,3.3,11.606,12.243,12.506,12.554,0,0.6370000000000005,0.2629999999999999,0.04800000000000004,0.9480000000000004,8.16818886782699,0.005642857142857146,False,NONE,VALID,TRUE
6,C00007,LOT_01,TYPE_B,MFG_B,126.8,3.3,12.208,14.29,18.849,25.662,0,2.081999999999999,4.559000000000001,6.812999999999999,13.453999999999999,110.2064220183486,0.08008333333333333,False,NONE,VALID,TRUE
7,C00008,LOT_15,TYPE_B,MFG_A,124.91,5.0,10.554,11.38,13.34,16.924,0,0.8260000000000005,1.959999999999999,3.5839999999999996,6.369999999999999,60.35626302823574,0.03791666666666666,False,NONE,VALID,TRUE
8,C00009,LOT_10,TYPE_C,MFG_A,125.22,3.3,10.032,11.194,13.738,19.116,0,1.1620000000000008,2.5439999999999987,5.378,9.084,90.55023923444976,0.05407142857142857,False,NONE,VALID,TRUE
9,C00010,LOT_01,TYPE_C,MFG_C,123.36,5.0,11.251,12.585,16.912,22.319,0,1.3340000000000014,4.326999999999998,5.407,11.068,98.3734779130744,0.06588095238095237,False,NONE,VALID,TRUE
10,C00011,LOT_13,TYPE_C,MFG_A,124.39,5.0,10.379,10.505,10.674,11.426,0,0.12600000000000122,0.1689999999999987,0.7520000000000007,1.0470000000000006,10.087677040177287,0.006232142857142861,False,NONE,VALID,TRUE
11,C00012,LOT_01,TYPE_C,MFG_C,126.26,3.3,11.925,12.161,12.836,12.983,0,0.23599999999999888,0.6750000000000007,0.14700000000000024,1.0579999999999998,8.872117400419285,0.006297619047619047,False,NONE,VALID,TRUE
12,C00013,LOT_07,TYPE_C,MFG_A,123.92,5.0,10.405,10.662,10.811,11.131,0,0.25700000000000145,0.14899999999999913,0.3200000000000003,0.7260000000000009,6.977414704469013,0.004321428571428577,False,NONE,VALID,TRUE
13,C00014,LOT_14,TYPE_A,MFG_A,124.67,3.3,10.481,10.761,11.146,11.783,0,0.27999999999999936,0.38500000000000156,0.6369999999999987,1.3019999999999996,12.422478771109622,0.007749999999999997,False,NONE,VALID,TRUE
14,C00015,LOT_17,TYPE_A,MFG_C,126.51,5.0,10.224,11.366,13.637,16.872,0,1.1419999999999995,2.271000000000001,3.2349999999999994,6.648,65.02347417840375,0.03957142857142857,False,NONE,VALID,TRUE
15,C00016,LOT_09,TYPE_C,MFG_C,124.83,5.0,7.915,8.413,8.787,8.949,0,0.4980000000000002,0.37400000000000055,0.16199999999999903,1.0339999999999998,13.063802905874919,0.006154761904761903,False,NONE,VALID,TRUE
16,C00017,LOT_17,TYPE_B,MFG_A,124.75,3.3,11.091,11.255,11.82,12.218,0,0.16400000000000148,0.5649999999999995,0.3979999999999997,1.1270000000000007,10.16139211973673,0.006708333333333337,False,NONE,VALID,TRUE
17,C00018,LOT_17,TYPE_A,MFG_A,123.01,5.5,10.947,11.38,13.017,16.557,0,0.4330000000000016,1.6369999999999987,3.539999999999999,5.609999999999999,51.246916963551655,0.03339285714285714,False,NONE,VALID,TRUE
18,C00019,LOT_09,TYPE_B,MFG_C,124.39,5.0,9.487,9.703,9.748,9.734,0,0.2159999999999993,0.04499999999999993,-0.013999999999999346,0.2469999999999999,2.60356277010646,0.0014702380952380946,False,NONE,VALID,TRUE
19,C00020,LOT_04,TYPE_B,MFG_B,126.57,5.0,11.108,11.077,11.787,12.218,0,-0.031000000000000583,0.7100000000000009,0.43099999999999916,1.1099999999999994,9.992797983435356,0.006607142857142854,False,NONE,VALID,TRUE
20,C00021,LOT_14,TYPE_C,MFG_B,124.45,5.0,11.145,11.294,11.842,11.563,0,0.1490000000000009,0.548,-0.2789999999999999,0.41800000000000104,3.7505607895917543,0.002488095238095244,False,NONE,VALID,TRUE
21,C00022,LOT_01,TYPE_C,MFG_A,125.05,5.0,10.521,10.722,11.276,11.282,0,0.20099999999999874,0.5540000000000003,0.006000000000000227,0.7609999999999992,7.23315274213477,0.0045297619047619,False,NONE,VALID,TRUE
22,C00023,LOT_18,TYPE_A,MFG_C,127.02,3.3,8.505,8.371,8.639,8.932,0,-0.13400000000000034,0.2679999999999989,0.29300000000000104,0.4269999999999996,5.020576131687237,0.0025416666666666643,False,NONE,VALID,TRUE
23,C00024,LOT_08,TYPE_B,MFG_A,124.06,5.0,10.569,11.47,11.715,11.782,0,0.9009999999999998,0.24499999999999922,0.06700000000000017,1.2129999999999992,11.47696092345538,0.00722023809523809,False,NONE,VALID,TRUE
24,C00025,LOT_16,TYPE_A,MFG_A,123.6,5.5,8.077,8.19,8.447,8.676,0,0.11299999999999955,0.2569999999999997,0.22900000000000098,0.5990000000000002,7.416119846477655,0.003565476190476192,False,NONE,VALID,TRUE
25,C00026,LOT_15,TYPE_C,MFG_A,126.62,5.5,10.298,10.479,10.913,11.294,0,0.18099999999999916,0.43400000000000105,0.3810000000000002,0.9960000000000004,9.671780928335604,0.0059285714285714315,False,NONE,VALID,TRUE
26,C00027,LOT_10,TYPE_A,MFG_A,123.64,5.0,10.004,10.702,16.068,28.256,0,0.6980000000000004,5.366000000000001,12.187999999999999,18.252000000000002,182.44702119152342,0.10864285714285715,False,NONE,VALID,TRUE
27,C00028,LOT_20,TYPE_B,MFG_B,124.31,5.0,10.918,10.965,11.058,11.276,0,0.0470000000000006,0.09299999999999997,0.21799999999999997,0.35800000000000054,3.278988825792275,0.002130952380952384,False,NONE,VALID,TRUE
28,C00029,LOT_16,TYPE_B,MFG_A,122.44,5.0,9.104,8.786,9.512,9.859,0,-0.3179999999999996,0.7260000000000009,0.34699999999999953,0.7550000000000008,8.29305799648507,0.004494047619047624,False,NONE,VALID,TRUE
29,C00030,LOT_18,TYPE_B,MFG_B,127.95,5.0,9.315,9.378,9.85,9.963,0,0.06300000000000061,0.47199999999999953,0.11299999999999955,0.6479999999999997,6.956521739130432,0.0038571428571428554,False,NONE,VALID,TRUE
30,C00031,LOT_02,TYPE_B,MFG_A,125.03,3.3,9.908,10.045,10.046,10.434,0,0.13700000000000045,0.0009999999999994458,0.3879999999999999,0.5259999999999998,5.308841340331044,0.0031309523809523797,False,NONE,VALID,TRUE
31,C00032,LOT_10,TYPE_B,MFG_A,125.79,5.0,10.678,11.888,15.637,20.329,0,1.209999999999999,3.7490000000000006,4.692,9.651,90.38209402509833,0.05744642857142857,False,NONE,VALID,TRUE
32,C00033,LOT_20,TYPE_B,MFG_C,123.6,3.3,11.083,11.117,11.09,11.911,0,0.034000000000000696,-0.027000000000001023,0.8209999999999997,0.8279999999999994,7.4709013804926405,0.004928571428571425,False,NONE,VALID,TRUE
33,C00034,LOT_17,TYPE_A,MFG_B,124.9,5.0,10.815,11.838,13.912,16.604,0,1.0229999999999997,2.0740000000000016,2.6919999999999984,5.789,53.52750809061489,0.034458333333333334,False,NONE,VALID,TRUE
34,C00035,LOT_10,TYPE_A,MFG_A,124.51,5.0,10.431,11.482,15.22,21.317,0,1.0510000000000002,3.7380000000000013,6.0969999999999995,10.886000000000001,104.36199789090215,0.06479761904761905,False,NONE,VALID,TRUE
35,C00036,LOT_02,TYPE_B,MFG_A,124.96,5.0,9.23,9.416,9.832,10.135,0,0.18599999999999994,0.41600000000000037,0.30299999999999905,0.9049999999999994,9.804983748645713,0.005386904761904758,False,NONE,VALID,TRUE
36,C00037,LOT_06,TYPE_A,MFG_B,126.1,5.0,11.38,14.128,19.635,28.202,0,2.7479999999999993,5.5070000000000014,8.567,16.822000000000003,147.8207381370826,0.1001309523809524,False,NONE,VALID,TRUE
37,C00038,LOT_12,TYPE_C,MFG_C,120.73,5.0,12.518,12.934,13.445,13.915,0,0.4159999999999986,0.511000000000001,0.46999999999999886,1.3969999999999985,11.159929701230215,0.008315476190476182,False,NONE,VALID,TRUE
38,C00039,LOT_13,TYPE_A,MFG_B,124.0,3.3,10.656,11.171,11.509,12.237,0,0.5149999999999988,0.33800000000000097,0.7279999999999998,1.5809999999999995,14.836711711711706,0.009410714285714283,False,NONE,VALID,TRUE
39,C00040,LOT_19,TYPE_C,MFG_C,126.52,5.0,12.719,13.043,13.298,13.857,0,0.32399999999999984,0.2550000000000008,0.5589999999999993,1.138,8.947244280210708,0.006773809523809523,False,NONE,VALID,TRUE
40,C00041,LOT_02,TYPE_A,MFG_A,125.09,5.0,9.954,11.055,12.976,16.688,0,1.100999999999999,1.9210000000000012,3.711999999999998,6.733999999999998,67.65119549929675,0.040083333333333325,False,NONE,VALID,TRUE
41,C00042,LOT_08,TYPE_C,MFG_C,125.09,5.5,11.612,12.206,12.118,12.358,0,0.5939999999999994,-0.08799999999999919,0.2400000000000002,0.7460000000000004,6.424388563554947,0.0044404761904761935,False,NONE,VALID,TRUE
42,C00043,LOT_06,TYPE_A,MFG_A,126.52,5.0,11.427,11.788,11.829,12.603,0,0.36100000000000065,0.04100000000000037,0.7739999999999991,1.1760000000000002,10.291415069572068,0.007000000000000001,False,NONE,VALID,TRUE
43,C00044,LOT_20,TYPE_B,MFG_A,126.44,5.5,11.617,11.465,11.789,12.469,0,-0.15200000000000102,0.32399999999999984,0.6799999999999997,0.8519999999999985,7.334079366445713,0.005071428571428563,False,NONE,VALID,TRUE
44,C00045,LOT_04,TYPE_A,MFG_B,124.4,3.3,11.185,11.506,11.739,11.99,0,0.32099999999999973,0.23300000000000054,0.25099999999999945,0.8049999999999997,7.197139025480552,0.0047916666666666646,False,NONE,VALID,TRUE
